word,frequency
father,25
gets,25
brilliant,25
steep,25
hundreds,25
wine,25
pay,25
camp,25
twice,25
altar,25
bright,25
persons,25
exceedingly,25
stop,25
legs,25
raised,25
probably,25
christians,25
duel,25
iron,24
dismal,24
coliseum,24
mosque,24
sail,24
oriental,24
boy,24
traveled,24
need,24
reason,24
dropped,24
americans,24
stepped,24
service,24
remark,24
number,24
bottom,24
neck,24
entirely,24
ai,24
watch,24
doing,24
ragged,24
principal,24
stands,24
returned,24
discovered,24
plenty,24
pillars,24
closed,24
pride,24
knows,24
poetry,24
cool,24
wrong,24
watched,24
neckar,24
raft,24
pilgrim,23
tangier,23
carriage,23
moonlight,23
burst,23
duty,23
return,23
fragments,23
syria,23
greek,23
law,23
solemn,23
changed,23
list,23
begin,23
lives,23
learned,23
latter,23
everything,23
yes,23
chance,23
fresh,23
genuine,23
help,23
wind,23
size,23
suddenly,23
stretch,23
shut,23
drove,23
cave,23
speaking,23
private,23
otherwise,23
herself,23
backs,23
ye,23
lips,23
especially,23
cold,23
weather,23
loose,23
caps,23
writing,22
become,22
modern,22
dome,22
guides,22
italian,22
turkish,22
scenes,22
steamer,22
possibly,22
lies,22
named,22
considered,22
syrian,22
main,22
proud,22
supposed,22
apart,22
countenance,22
silence,22
rain,22
afraid,22
comfortable,22
windows,22
upper,22
've,22
ca,22
sense,22
remained,22
particular,22
average,22
noise,22
dream,22
complete,22
allowed,22
unto,22
circle,22
worship,22
audience,22
wants,22
breast,22
higher,22
ze,22
de,22
respect,22
honor,22
huge,22
child,22
naturally,22
germans,22
napoleon,21
sultan,21
abelard,21
railway,21
judgment,21
fraud,21
form,21
mysterious,21
donkey,21
magnificent,21
reader,21
milan,21
various,21
shortly,21
bought,21
fast,21
surprised,21
clouds,21
answer,21
deck,21
experience,21
judge,21
moon,21
opera,21
expected,21
belong,21
stage,21
prodigious,21
vision,21
spread,21
wise,21
window,21
throw,21
certainly,21
admiration,21
solitude,21
conversation,21
step,21
easy,21
merely,21
carved,21
question,21
waiting,21
object,21
spring,21
fought,21
m.,21
grotto,21
information,20
customs,20
spoken,20
concerning,20
paradise,20
massive,20
whom,20
ass,20
wrote,20
brain,20
easily,20
michael,20
fair,20
somewhere,20
spectacle,20
answered,20
failed,20
somebody,20
pieces,20
played,20
talking,20
quiet,20
sang,20
singing,20
peace,20
villages,20
soldiers,20
article,20
occurred,20
chapel,20
couple,20
sounds,20
john,20
imagine,20
thirteen,20
swept,20
rocks,20
cost,20
quaint,20
march,20
visible,20
bridge,20
original,20
immediately,20
youth,20
shadows,20
glass,20
enter,20
doors,20
eighty,20
ask,20
buildings,20
rested,20
gate,20
baden-baden,20
opinion,19
speech,19
works,19
ascent,19
pompeii,19
desolation,19
mine,19
peculiar,19
mere,19
comfort,19
lying,19
desire,19
weeks,19
feature,19
hung,19
clothes,19
circumstances,19
simple,19
occupied,19
catch,19
enjoyed,19
caught,19
confidence,19
island,19
shade,19
ordered,19
lands,19
dry,19
staid,19
riding,19
blessed,19
portion,19
base,19
moors,19
exquisite,19
animals,19
pointed,19
grace,19
threw,19
bowed,19
paper,19
twenty-five,19
length,19
dreams,19
silent,19
generally,19
precious,19
angelo,19
act,19
indeed,19
camel,19
school,18
journal,18
relics,18
